movie,chapter,character,,dialog
Harry Potter and the Gobelt of Fire,The Riddle House,Old man,,Bloody kids.
Harry Potter and the Gobelt of Fire,The Riddle House,Peter Pettigrew,Voldemort,Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy..
Harry Potter and the Gobelt of Fire,The Riddle House,Voldemort,Peter Pettigrew,"NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say."
Harry Potter and the Gobelt of Fire,The Riddle House,Bartemius Crouch Junior,Voldemort,I will not disappoint you my lord.
Harry Potter and the Gobelt of Fire,The Riddle House,Voldemort,Bartemius Crouch Junior,"Good. First, gather our old comrades. Send them a sign."
Harry Potter and the Gobelt of Fire,The Riddle House,Voldemort,"Bartemius Crouch Junior, Peter Pettigrew",Nagini tells me the old caretaker is standing outside the door.
Harry Potter and the Gobelt of Fire,The Riddle House,Voldemort,"Bartemius Crouch Junior, Peter Pettigrew",Step aside so I can give our guest a proper greeting.
Harry Potter and the Gobelt of Fire,The Portkey,Hermione Granger,Harry Potter,Harry!
Harry Potter and the Gobelt of Fire,The Portkey,Hermione Granger,Harry Potter,Are you alright?
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Hermione Granger,Hermione. Bad dream. When did you get here?
Harry Potter and the Gobelt of Fire,The Portkey,Hermione Granger,Harry Potter,Just now. You?
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Hermione Granger,Last night.
Harry Potter and the Gobelt of Fire,The Portkey,Hermione Granger,Ron Weasley,Wake up. Wake up Ronald!
Harry Potter and the Gobelt of Fire,The Portkey,Ron Weasley,Hermione Granger,Bloody hell.
Harry Potter and the Gobelt of Fire,The Portkey,Hermione Granger,"Harry Potter, Ron Weasley","Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready."
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Ron Weasley,Where are we actually going?
Harry Potter and the Gobelt of Fire,The Portkey,Ron Weasley,"Harry Potter, Arthur Weasley",Don't know. Hey Dad! Where are we going?
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,Ron Weasley,"Haven't the foggiest, keep up!"
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,Arthur Weasley,Arthur! It's about time son.
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,"Amos Diggory, Cedric Diggory","Sorry Amos. Some of us had a bit of a sleepy start. This is Amos Diggory everyone, he works with me at the ministry. And this strapping young lad must be Cedric, am I right?"
Harry Potter and the Gobelt of Fire,The Portkey,Cedric Diggory,Arthur Weasley,Yes sir.
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,Harry Potter,"Merlin's beard, you must be Harry Potter."
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Amos Diggory,Yes sir. This way.
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,Harry Potter,Great great pleasure.
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Amos Diggory,Pleasure to meet you too sir.
Harry Potter and the Gobelt of Fire,The Portkey,Arthur Weasley,Amos Diggory,"That's it sir, just over there."
Harry Potter and the Gobelt of Fire,The Portkey,Amos Diggory,Arthur Weasley,Shall we? We don't want to be late.
Harry Potter and the Gobelt of Fire,The Portkey,Harry Potter,Fred Weasley,Why are they all standing around that manky old boot?
