movie,chapter,character,listener,dialog
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Gang thug,"Oh, it's you."
Harry Potter and the Order of the Phoenix,Dudley Demented,Gang thug,Dudley Dursley,"What should we do with him, Big D?"
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Gang thug,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums."
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Harry Potter,Shut up!
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Harry Potter,"Ooo, tough guy. Not so tough in your bed, are you?"
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Dudley Dursley,What?
Harry Potter and the Order of the Phoenix,Dudley Demented,Arabella Figg,All,"You boys go home now, or I'll be calling your parents!"
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Harry Potter,"I heard you talking in your sleep, last night. Crying. ""No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!"""
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Dudley Dursley,"Shut up, Dudley. I'm warning you..."
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Harry Potter,Why should I?
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Dudley Dursley,Because if you don't I'll turn you into the idiot pig you are!
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Dudley Dursley,"Not so brave now, are you Duddykins? Now tell your little friends to go away."
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Gang thug,G-go home!
Harry Potter and the Order of the Phoenix,Dudley Demented,Gang thug,Dudley Dursley,What?
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Gang thug,Get out of here!
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Dudley Dursley,Don't you ever speak about that again. You understand?
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Harry Potter,Don't point that thing at me!
Harry Potter and the Order of the Phoenix,Dudley Demented,Harry Potter,Dudley Dursley,"I said, DO YOU UNDERSTAND? !"
Harry Potter and the Order of the Phoenix,Dudley Demented,Dudley Dursley,Harry Potter,What's happening?
