movie,chapter,character,listener,dialog
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,Narcissa!
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,Cissy! You mustn't do this.  He can't be trusted.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Bellatrix Lestrange,The Dark Lord trusts him.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,The Dark Lord is mistaken.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,Or so I believe.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Bellatrix Lestrange,"Well, who can one trust these days?"
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,He lives in this Muggle dunghill?
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Narcissa Malfoy,"Run along, Wormtail."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Severus Snape,"I've nowhere else to turn, Severus."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,You must be joking.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Severus Snape,I know I ought not to be here. The Dark Lord himself has forbidden me to speak of this --
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,"Narcissa Malfoy, Bellatrix Lestrange","If the Dark Lord has forbidden it, you ought not to speak."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Bellatrix Lestrange,"Put it down, Bella.  We mustn't touch what isn't ours. As it so happens I'm aware of your situation, Narcissa."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Severus Snape,You? The Dark Lord told you?
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Narcissa Malfoy,"Your sister doubts me, Narcissa. Understandable."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Narcissa Malfoy,Over the years I have played my part well.  So well I've deceived one of the greatest wizards of all time.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Narcissa Malfoy,Dumbledore is a great wizard. Only a fool would question it.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Severus Snape,"I... I don't doubt you, Severus."
Harry Potter and the Half-Blood Prince,Snape's Visitors,Bellatrix Lestrange,Narcissa Malfoy,"You should feel honored, Cissy. As should Draco --"
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Severus Snape,He's just a boy!
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Narcissa Malfoy,I can't change the Dark Lord's mind.  But it might be possible for me to help Draco.  To provide some... protection.
Harry Potter and the Half-Blood Prince,Snape's Visitors,Narcissa Malfoy,Severus Snape,"Do you mean it, Severus?"
Harry Potter and the Half-Blood Prince,Snape's Visitors,Severus Snape,Narcissa Malfoy,I can try.
