movie,chapter,character,TO,dialog
Harry Potter and the Deathly Hallows Part 1,Dark Times,Rufus Scrimgeour,All,"These are dark times, there is no denying.  Our world has perhaps faced no greater threat than it does today.  But I say this to our citizenry:  we, ever your servants, continue to defend your liberty and repel the forces that would seek to take it from you. Your Ministry remains strong..."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Mrs. Granger,Hermione Granger,"Hermione.  Your tea is ready, dear."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Hermione Granger,Mrs. Granger,"Coming, Mum."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Mrs. Granger,Hermione Granger,Don't you look lovely.  All packed?
Harry Potter and the Deathly Hallows Part 1,Dark Times,Mr. Granger,Mrs. Granger,Are you sure these biscuits are sugar-free?
Harry Potter and the Deathly Hallows Part 1,Dark Times,Mrs. Granger,Mr. Granger,"Quite sure, dear.  See the big bold letters that say 'Sugar Free'?  Dead giveaway."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Mr. Granger,"Mrs. Granger, Hermione Granger","Mm.  Yes. Hello, kitten.  Don't you look lovely."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Mrs. Granger,Mr. Granger,"Darling, don't be suspicious the biscuits taste so good, be grateful the company's so clever..."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Hermione Granger,"Mr. Granger, Mrs. Granger",Obliviate.
Harry Potter and the Deathly Hallows Part 1,Dark Times,Hermione Granger,"Mr. Granger, Mrs. Granger",Goodbye.
Harry Potter and the Deathly Hallows Part 1,Dark Times,Ron Weasley,Arthur Weasley,What are those?
Harry Potter and the Deathly Hallows Part 1,Dark Times,Arthur Weasley,Ron Weasley,Close the door.
Harry Potter and the Deathly Hallows Part 1,Dark Times,Arthur Weasley,Ron Weasley,"These are for the Order.  So many are on the run now, it helps them to stay connected with the rest of us.  Know they're not alone..."
Harry Potter and the Deathly Hallows Part 1,Dark Times,Ron Weasley,Arthur Weasley,C'mon.  Mum's got dinner ready.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Severus Snape,Severus.  I was beginning to worry you'd lost your way.  Come.  I've saved you a seat.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,All,"You know our hosts, of course, Severus.  Narcissa in particular has been most hospitable.  Lucius, on the other hand, is, I fear, burdened by my presence.  Are you, Lucius?"
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Lucius Malfoy,Voldemort,My lord?
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Lucius Malfoy,Are you burdened?
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Narcissa Malfoy,Voldemort,My lord is always welcome here.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Severus Snape,"You bring news I trust, Severus?"
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Severus Snape,Voldemort,It will happen Saturday next.  At nightfall.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Severus Snape,And this information comes --
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Severus Snape,Voldemort,from the source we discussed.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Corban Yaxley,Voldemort,"I have heard differently, my lord. Dawlish, the Auror, let slip that the Potter boy will not be moved until the thirtieth of this month, the night before he turns seventeen."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Severus Snape,Voldemort,This is a false trail.  The Auror Office no longer plays any part in the protection of Harry Potter. Those closest to him believe we have infiltrated the Ministry.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Death Eater,All,"Well, they've got that right, then, 'aven't they?"
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Pius Thicknesse,"Pius, what say you?"
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Pius Thicknesse,Voldemort,"One hears many things, my lord. Whether the truth is among them is not clear."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,"Pius Thicknesse, Severus Snape","Spoken like a true politician. You will, I think, prove most useful, Pius.  Where will he be taken?  The boy?"
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Severus Snape,Voldemort,"To a safehouse.  Likely the home of someone in the Order.  I'm told it has been given every manner of protection possible. Once there, it will be impractical to attack him.  We may have compromised the Ministry, but there are those who remain loyal to him.  As long as the Ministry stands, his allies within will have the means at their disposal to insure his safety."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Bellatrix Lestrange,Voldemort,"My lord, if I might, I'd like to volunteer myself for this task. I'd like to kill the boy."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Peter Pettigrew,Wormtail!  Have I not spoken to you about keeping our guest quiet?
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Peter Pettigrew,Voldemort,"Yes, m-my lord.  Right away, my lord."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,All,"As inspiring as I find your bloodlust, Bellatrix, I must be the one to kill Harry Potter.  But I face an unfortunate complication.  It has recently come to my attention that my wand and Potter's share the same core. They are, in some ways, twins.  We can wound but not fatally harm one another.  Which means, if I am to kill him... I will have to do it with another's wand."
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,"All, Lucius Malfoy","Come now.  Surely one of you would like the honor?  What about... you, Lucius?"
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Lucius Malfoy,I require your wand.
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Voldemort,Lucius Malfoy,Do I detect elm?
Harry Potter and the Deathly Hallows Part 1,Dark Lord Ascending,Lucius Malfoy,Voldemort,"Yes, my lord."
